Heading A	Heading B	Heading C	Heading D	url A	url B	url C	url D	Long_Name	Short_Name	Units	Static_colourbar_url	Dynamic_colourbar_url	delta_t(yy/mm/dd/hr/mn/ss)
Water	15km	day	1	_ims_metopc_tir_qnrt_	w15	_day	_global_g0.5_qc0	"IMS-H2O (15km, 1day)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w15.png	empty	empty
Water	20km	day	1	_ims_metopc_tir_qnrt_	w20	_day	_global_g0.5_qc0	"IMS-H2O (20km, 1day)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w20.png	empty	empty
Water	TPW	night	1	_ims_metopc_tir_qnrt_	tpw	_night	_global_g0.5_qc0	IMS-TPW (1night)	TPW	mm	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_tpw.png	empty	empty
Water	1km	night	1	_ims_metopc_tir_qnrt_	w01	_night	_global_g0.5_qc0	"IMS-H2O (1km, 1night)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w01.png	empty	empty
Water	4km	night	1	_ims_metopc_tir_qnrt_	w04	_night	_global_g0.5_qc0	"IMS-H2O (4km, 1night)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w04.png	empty	empty
Water	8km	night	1	_ims_metopc_tir_qnrt_	w08	_night	_global_g0.5_qc0	"IMS-H2O (8km, 1night)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w08.png	empty	empty
Water	11km	night	1	_ims_metopc_tir_qnrt_	w11	_night	_global_g0.5_qc0	"IMS-H2O (11km, 1night)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w11.png	empty	empty
Water	15km	night	1	_ims_metopc_tir_qnrt_	w15	_night	_global_g0.5_qc0	"IMS-H2O (15km, 1night)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w15.png	empty	empty
Water	20km	night	1	_ims_metopc_tir_qnrt_	w20	_night	_global_g0.5_qc0	"IMS-H2O (20km, 1night)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w20.png	empty	empty
Aerosol	H2SO4	day	3	_ims_metopc_tir_qnrt_p3_	aot0	_day	_global_g0.5_qc0	"IMS-Aerosol (H2SO4 AOT, 1day)"	H2SO4	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot0.png	empty	empty
Aerosol	Dust	day	3	_ims_metopc_tir_qnrt_p3_	aot1	_day	_global_g0.5_qc0	"IMS-Aerosol (Dust AOT, 1day)"	Dust	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot1.png	empty	empty
Aerosol	H2SO4	night	3	_ims_metopc_tir_qnrt_p3_	aot0	_night	_global_g0.5_qc0	"IMS-Aerosol (H2SO4 AOT, 1day)"	AOT0	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot0.png	empty	empty
Aerosol	Dust	night	3	_ims_metopc_tir_qnrt_p3_	aot1	_night	_global_g0.5_qc0	"IMS-Aerosol (Dust AOT, 1day)"	AOT1	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot1.png	empty	empty
AVHRR	False Colour	day	3	_ims_metopc_tir_qnrt_p3_	avhrr	_day	_global_g0.5_qc0	"IMS-Image (AVHRR, 1day)"	AVHRR	empty	empty	empty	empty
AVHRR	False Colour	night	3	_ims_metopc_tir_qnrt_p3_	avhrr	_night	_global_g0.5_qc0	"IMS-Image (AVHRR, 1night)"	AVHRR	empty	empty	empty	empty
CH3OH	Column_Average	day	3	_ims_metopc_tir_qnrt_p3_	ch3oh	_day	_global_g0.5_qc0	IMS-CH3OH (1day)	CH3OH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_ch3oh.png	empty	empty
CH3OH	Column_Average	night	3	_ims_metopc_tir_qnrt_p3_	ch3oh	_night	_global_g0.5_qc0	IMS-CH3OH (1night)	CH3OH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_ch3oh.png	empty	empty
Cloud	Fraction*height	day	3	_ims_metopc_tir_qnrt_p3_	cfh	_day	_global_g0.5_qc0	"IMS-Effective Cloud (CTF*CTH/5, 1day)"	Cld.Eff.Hgt	km	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cfh.png	empty	empty
Cloud	Fraction	day	3	_ims_metopc_tir_qnrt_p3_	cfr	_day	_global_g0.5_qc0	"IMS-Cloud (CTF, 1day)"	Cld.Frac	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cfr.png	empty	empty
Cloud	Height	day	3	_ims_metopc_tir_qnrt_p3_	cth	_day	_global_g0.5_qc0	"IMS-Cloud (CTh, 1day)"	Cld.Hgt	km	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cth.png	empty	empty
Cloud	Fraction*height	night	3	_ims_metopc_tir_qnrt_p3_	cfh	_night	_global_g0.5_qc0	"IMS-Effective Cloud (CTF*CTH/5, 1night)"	Cld.Eff.Hgt	km	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cfh.png	empty	empty
